title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries,genre1,genre2,genre3,,,
City of Angels,movie,"Drama, Fantasy, Romance",1998,tt0120632,6.7,131888,,Drama, Fantasy, Romance,,,
Persona,movie,"Drama, Thriller",1966,tt0060827,8,136669,,Drama, Thriller,,,,
Roman Holiday,movie,"Comedy, Drama, Romance",1953,tt0046250,8,153871,,Comedy, Drama, Romance,,,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1921529,,Crime, Drama, Mystery,,,
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,776933,,Adventure, Animation, Comedy,,,
Shrek 2,movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,533782,,Adventure, Animation, Comedy,,,
Shrek the Third,movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,348820,,Adventure, Animation, Comedy,,,
Austin Powers: International Man of Mystery,movie,"Adventure, Comedy",1997,tt0118655,7,266697,,Adventure, Comedy,,,,
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,256933,,Action, Adventure, Comedy,,,
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,tt0401855,6.7,214464,,Action, Fantasy, Thriller,,,
Barren Lives,movie,Drama,1963,tt0057654,7.5,3199,,Drama,,,,,
American Graffiti,movie,"Comedy, Drama",1973,tt0069704,7.4,102793,,Comedy, Drama,,,,
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,tt0075860,7.6,226207,,Drama, Sci-Fi,,,,
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,189035,,Action, Adventure, Sci-Fi,,,
In the Mood for Love,movie,"Drama, Romance",2000,tt0118694,8.1,178130,,Drama, Romance,,,,
2046,movie,"Drama, Romance, Sci-Fi",2004,tt0212712,7.4,64066,,Drama, Romance, Sci-Fi,,,
Enemy at the Gates,movie,"Action, Drama, War",2001,tt0215750,7.5,286809,,Action, Drama, War,,,
The Mask,movie,"Comedy, Crime, Fantasy",1994,tt0110475,7,449314,,Comedy, Crime, Fantasy,,,
Black Hawk Down,movie,"Action, Drama, History",2001,tt0265086,7.7,441355,,Action, Drama, History,,,
Saving Private Ryan,movie,"Drama, War",1998,tt0120815,8.6,1576876,,Drama, War,,,,
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,tt0108160,6.8,199436,,Comedy, Drama, Romance,,,
Total Recall,movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,370270,,Action, Adventure, Sci-Fi,,,
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,175122,,Action, Sci-Fi, Thriller,,,
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,36162,,Drama, Thriller,,,,
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,32037,,Crime, Drama,,,,
A Man for All Seasons,movie,"Biography, Drama, History",1966,tt0060665,7.7,38895,,Biography, Drama, History,,,
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,283255,,Adventure, Comedy, Family,,,
Coffee and Cigarettes,movie,"Comedy, Drama, Music",2003,tt0379217,7,69371,,Comedy, Drama, Music,,,
The Flintstones,movie,"Comedy, Family, Fantasy",1994,tt0109813,5,89742,,Comedy, Family, Fantasy,,,
Cinderella Man,movie,"Biography, Drama, Romance",2005,tt0352248,8,204858,,Biography, Drama, Romance,,,
Dead Man,movie,"Adventure, Drama, Western",1995,tt0112817,7.5,106467,,Adventure, Drama, Western,,,
Dawn of the Dead,movie,"Action, Horror",2004,tt0363547,7.2,282080,,Action, Horror,,,,
Do the Right Thing,movie,"Comedy, Drama",1989,tt0097216,8,119386,,Comedy, Drama,,,,
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,tt0120685,5.5,209147,,Action, Sci-Fi, Thriller,,,
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,tt0056172,8.3,330482,,Adventure, Biography, Drama,,,
Heat,movie,"Action, Crime, Drama",1995,tt0113277,8.3,762587,,Action, Crime, Drama,,,
